id;name;unit_measurement;notes;rate;type;last_update
1;snowplow unlike;whenever;hm forenenst outgun;7453.75;ELECTRICITY;2024-02-23T22:36:41
2;ack familiarity lovely;cautiously;always digit fooey;21171.76;WATER;2024-02-23T05:10:47
3;vivaciously speech quaintly;aside;fiesta neglected;4908.24;WATER;2024-02-23T18:57:03
4;deeply onto unhitch;upset;athwart yowza;7857.25;WATER;2024-02-23T21:30:49
5;preserve proximity;whoa adumbrate evil;quaint yearn over;16426.81;ELECTRICITY;2024-02-23T20:49:49
6;rappel;front insignificant;yawningly ick qua;17857.39;WATER;2024-02-23T13:58:46
7;thrifty entice;athwart satirise;notwithstanding content dagger;2777.11;ELECTRICITY;2024-02-23T23:59:04
8;cower;embroil jaggedly extremely;pole bottle score;8777.69;ELECTRICITY;2024-02-23T08:59:03
9;within;distort;luxurious from safely;17696.39;WATER;2024-02-23T17:11:58
10;innocently evangelize;meet;armor famously who;30741.5;WATER;2024-02-23T08:07:00
